Date (YYYY-MM-DD)	Day of the Week	Time of Day	Location	Location Rank	Incident Nature	Incident Rank
2024-04-03	4	0	HAL MULDROW DR / W MAIN ST	140	Motorist Assist	19
2024-04-03	4	0	2505 W MAIN ST	12	Alarm Holdup/Panic	27
2024-04-03	4	0	1701 ALAMEDA ST	140	Contact a Subject	3
2024-04-03	4	0	2382 W LINDSEY ST	140	Traffic Stop	1
2024-04-03	4	0	1919 W BOYD ST	54	Public Assist	19
2024-04-03	4	0	2920 CHAUTAUQUA AVE	54	911 Call Nature Unknown	37
2024-04-03	4	0	N PORTER AVE / E GRAY ST	140	Contact a Subject	3
2024-04-03	4	0	5401 HUETTNER DR	21	Contact a Subject	3
2024-04-03	4	0	2803 24TH AVE NW	21	Overdose/Poisoning	22
2024-04-03	4	0	2803 24TH AVE NW	21	Overdose/Poisoning	22
2024-04-03	4	0	2368 W BROOKS ST	140	Traffic Stop	1
2024-04-03	4	0	402 S PORTER AVE	140	Traffic Stop	1
2024-04-03	4	0	N CRAWFORD AVE / HAY	140	Contact a Subject	3
2024-04-03	4	1	800 CANADIAN TRAILS DR	12	Sick Person	7
2024-04-03	4	1	800 CANADIAN TRAILS DR	12	Sick Person	7
2024-04-03	4	1	901 N PORTER AVE	1	Trespassing	10
2024-04-03	4	1	1213 CROWN POINT AVE	54	Loud Party	72
2024-04-03	4	1	W BOYD ST / ELM AVE	54	Traffic Stop	1
2024-04-03	4	1	W BOYD ST / ELM AVE	54	Traffic Stop	1
2024-04-03	4	1	2200 CLASSEN BLVD	33	Disturbance/Domestic	4
2024-04-03	4	1	5401 HUETTNER DR	21	Contact a Subject	3
2024-04-03	4	1	1149 W ROBINSON ST	140	Traffic Stop	1
2024-04-03	4	1	515 24TH AVE NW	140	Disturbance/Domestic	4
2024-04-03	4	1	524 ELM AVE	54	Traffic Stop	1
2024-04-03	4	1	524 ELM AVE	54	Traffic Stop	1
2024-04-03	4	1	408 W MAIN ST	140	Public Intoxication	48
2024-04-03	4	1	305 W HIMES ST	140	Suspicious	13
2024-04-03	4	1	167 48TH AVE NW	140	Traffic Stop	1
2024-04-03	4	1	130 E MOSIER ST	54	Noise Complaint	27
2024-04-03	4	1	I35 SB OFF RAMP 112 RAMP / N INTERSTATE DR	54	MVA With Injuries	13
2024-04-03	4	1	I35 SB OFF RAMP 112 RAMP / N INTERSTATE DR	54	MVA With Injuries	13
2024-04-03	4	1	310 N FLOOD AVE	140	Welfare Check	4
2024-04-03	4	2	3912 RIPPLE AVE	140	Burglary	42
2024-04-03	4	2	2200 CLASSEN BLVD	33	Disturbance/Domestic	4
2024-04-03	4	2	617 INTERSTATE DR	21	Alarm	6
2024-04-03	4	2	1352 W BOYD ST	140	Traffic Stop	1
2024-04-03	4	2	N CARTER AVE / OLIVER ST	140	Warrant Service	72
2024-04-03	4	2	377 24TH AVE NE	140	Traffic Stop	1
2024-04-03	4	2	W MAIN ST / 26TH AVE SW	140	Traffic Stop	1
2024-04-03	4	2	1592 W MAIN ST	140	Traffic Stop	1
2024-04-03	4	2	351 E ROBINSON ST	54	Trespassing	10
2024-04-03	4	2	VINE ST / MCGEE DR	140	Suspicious	13
2024-04-03	4	3	3406 PHEASANT RUN RD	21	Hemorrhage/Lacerations	31
2024-04-03	4	3	3406 PHEASANT RUN RD	21	Hemorrhage/Lacerations	31
2024-04-03	4	3	3406 PHEASANT RUN RD	21	Follow Up	16
2024-04-03	4	3	1087 N STATE DR	140	Contact a Subject	3
2024-04-03	4	3	5401 HUETTNER DR	21	Check Area	15
2024-04-03	4	3	2000 ANN BRANDEN BLVD	7	Transfer/Interfacility	2
2024-04-03	4	3	130 E MOSIER ST	54	Barking Dog	60
2024-04-03	4	3	36TH AVE NW / ASTOR DR	140	Traffic Stop	1
2024-04-03	4	3	276 24TH AVE SE	140	Traffic Stop	1
2024-04-03	4	3	1430 24TH AVE NW	140	Traffic Stop	1
2024-04-03	4	4	826 MONNETT AVE	140	Noise Complaint	27
2024-04-03	4	4	1225 PALOMA PL	140	Traffic Stop	1
2024-04-03	4	4	620 W LINDSEY ST	140	Contact a Subject	3
2024-04-03	4	4	2550 W FRANKLIN RD	54	Diabetic Problems	48
2024-04-03	4	4	2550 W FRANKLIN RD	54	Diabetic Problems	48
2024-04-03	4	5	1351 HIGH MEADOWS DR	140	Public Assist	19
2024-04-03	4	5	N CARTER AVE / E ROBINSON ST	140	Traffic Stop	1
2024-04-03	4	5	1305 N PORTER AVE	140	Contact a Subject	3
2024-04-03	4	5	617 INTERSTATE DR	21	Alarm	6
2024-04-03	4	5	2900 OAK TREE AVE	54	Alarm	6
2024-04-03	4	5	1221 W LINDSEY DR	140	Alarm	6
2024-04-03	4	6	1300 STEAMBOAT WAY	140	Suspicious	13
2024-04-03	4	6	W ROBINSON ST / WOODS AVE	140	Motorist Assist	19
2024-04-03	4	6	1820 LEGACY PARK DR	140	Alarm	6
2024-04-03	4	6	123 INTERSTATE DR	140	Alarm	6
2024-04-03	4	7	2909 WOODBRIAR DR	54	Unconscious/Fainting	17
2024-04-03	4	7	2909 WOODBRIAR DR	54	Falls	10
2024-04-03	4	7	9554 ALAMEDA DR	140	Traffic Stop	1
2024-04-03	4	7	2543 W MAIN ST	33	Breathing Problems	8
2024-04-03	4	7	2543 W MAIN ST	33	Breathing Problems	8
2024-04-03	4	7	2543 W MAIN ST	33	Sick Person	7
2024-04-03	4	7	N FLOOD AVE / W ROCK CREEK RD	54	Check Area	15
2024-04-03	4	7	3300 HEALTHPLEX PKWY	2	Transfer/Interfacility	2
2024-04-03	4	7	4260 28TH AVE NW	140	Alarm	6
2024-04-03	4	7	4357 MONTICELLO RD	140	COP DDACTS	37
2024-04-03	4	7	393 LAMP POST RD	140	Traffic Stop	1
2024-04-03	4	7	205 LAMP POST RD	140	Traffic Stop	1
2024-04-03	4	7	464 ALAMEDA ST	140	Traffic Stop	1
2024-04-03	4	8	201 REED AVE	6	Contact a Subject	3
2024-04-03	4	8	E ROBINSON ST / 12TH AVE NE	9	MVA Non Injury	8
2024-04-03	4	8	216 LAMP POST RD	140	Traffic Stop	1
2024-04-03	4	8	178 LAMP POST RD	140	Traffic Stop	1
2024-04-03	4	8	2630 12TH AVE NW	140	Stolen Vehicle	42
2024-04-03	4	8	980 W INDIAN HILLS RD	54	Sick Person	7
2024-04-03	4	8	980 W INDIAN HILLS RD	54	Sick Person	7
2024-04-03	4	8	4301 HARVARD RD	140	Traffic Stop	1
2024-04-03	4	8	1334 ALAMEDA ST	140	COP DDACTS	37
2024-04-03	4	8	347 LAMP POST RD	140	Traffic Stop	1
2024-04-03	4	8	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-03	4	8	217 LAMP POST RD	140	Traffic Stop	1
2024-04-03	4	8	313 LAMP POST RD	54	Traffic Stop	1
2024-04-03	4	8	1037 N UNIVERSITY BLVD	54	Suspicious	13
2024-04-03	4	8	1060 W ROBINSON ST	140	Traffic Stop	1
2024-04-03	4	8	1401 24TH AVE NW	140	Traffic Stop	1
2024-04-03	4	8	629 24TH AVE SW	54	Sick Person	7
2024-04-03	4	8	629 24TH AVE SW	54	Sick Person	7
2024-04-03	4	8	1600 24TH AVE NW	54	Vandalism	37
2024-04-03	4	8	BNSF RR / W TECUMSEH RD	54	Check Area	15
2024-04-03	4	8	2179 STUBBEMAN AVE	140	Traffic Stop	1
2024-04-03	4	8	2003 LEEDS LN	140	Contact a Subject	3
2024-04-03	4	8	1912 EAST VIEW DR	140	Burglary	42
2024-04-03	4	9	2900 OAK TREE AVE	54	Supplement Report	42
2024-04-03	4	9	213 CHALMETTE DR	140	Animal at Large	19
2024-04-03	4	9	730 BARBOUR AVE	140	Harassment / Threats Report	22
2024-04-03	4	9	2900 JENKINS AVE	7	COP Relationships	17
2024-04-03	4	9	2900 JENKINS AVE	7	COP Relationships	17
2024-04-03	4	9	4343 N FLOOD AVE	54	Hit and Run	25
2024-04-03	4	9	4105 W MAIN ST	33	Sick Person	7
2024-04-03	4	9	4105 W MAIN ST	33	Sick Person	7
2024-04-03	4	9	4105 W MAIN ST	33	Disturbance/Domestic	4
2024-04-03	4	9	1162 KENWOOD DR	140	Traffic Stop	1
2024-04-03	4	9	600 ED NOBLE PKWY	140	Pick Up Items	72
2024-04-03	4	9	1435 CHERRY LAUREL DR	140	Alarm	6
2024-04-03	4	9	207 CHALMETTE DR	140	Animal at Large	19
2024-04-03	4	9	1600 24TH AVE NW	54	Vandalism	37
2024-04-03	4	9	911 W MAIN ST	5	MVA Non Injury	8
2024-04-03	4	9	1848 W ROBINSON ST	54	Larceny	10
2024-04-03	4	9	300 12TH AVE NE	33	MVA With Injuries	13
2024-04-03	4	9	300 12TH AVE NE	33	MVA With Injuries	13
2024-04-03	4	9	300 12TH AVE NE	33	MVA With Injuries	13
2024-04-03	4	9	2000 ANN BRANDEN BLVD	7	Transfer/Interfacility	2
2024-04-03	4	9	2900 CHAUTAUQUA AVE	140	Contact a Subject	3
2024-04-03	4	9	3300 HEALTHPLEX PKWY	2	Welfare Check	4
2024-04-03	4	9	1150 ALAMEDA ST	140	Alarm Holdup/Panic	27
2024-04-03	4	9	1200 S I35 SB I	140	Traffic Stop	1
2024-04-03	4	9	701 W MAIN ST	140	Fire Controlled Burn	72
2024-04-03	4	10	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-03	4	10	700 COPPERFIELD DR	140	Animal at Large	19
2024-04-03	4	10	3200 72ND AVE SE	140	Animal Dead	42
2024-04-03	4	10	W TECUMSEH RD / N FLOOD AVE	140	MVA Non Injury	8
2024-04-03	4	10	5300 N INTERSTATE DR	140	Suspicious	13
2024-04-03	4	10	525 N FLOOD AVE	140	Animal Dead	42
2024-04-03	4	10	3300 HEALTHPLEX PKWY	2	Transfer/Interfacility	2
2024-04-03	4	10	4001 36TH AVE NW	140	Contact a Subject	3
2024-04-03	4	10	1709 138TH AVE SE	54	Breathing Problems	8
2024-04-03	4	10	1709 138TH AVE SE	54	Sick Person	7
2024-04-03	4	10	1251 ALAMEDA ST	54	Trespassing	10
2024-04-03	4	10	215 N PONCA AVE, NORMAN	33	Vandalism	37
2024-04-03	4	10	215 N PONCA AVE, NORMAN	33	COP Problem Solving	48
2024-04-03	4	10	1405 OAKCREST AVE	140	Animal Complaint	48
2024-04-03	4	10	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-03	4	10	1724 W LINDSEY ST	140	Disturbance/Domestic	4
2024-04-03	4	10	319 GLADE CT	54	Medical Call Pd Requested	27
2024-04-03	4	10	319 GLADE CT	54	Medical Call Pd Requested	27
2024-04-03	4	10	333 E BROOKS ST	140	Larceny	10
2024-04-03	4	10	102 CASTRO ST	140	Animal Trapped	37
2024-04-03	4	10	7700 E POST OAK RD	140	Animal at Large	19
2024-04-03	4	11	1395 E LINDSEY ST	140	Traffic Stop	1
2024-04-03	4	11	801 N PETERS AVE	140	Motorist Assist	19
2024-04-03	4	11	222 E LINDSEY ST	140	Civil Standby	32
2024-04-03	4	11	2223 W MAIN ST	140	Hit and Run	25
2024-04-03	4	11	2555 HEMPHILL DR	54	Larceny	10
2024-04-03	4	11	125 VICKSBURG AVE	54	Contact a Subject	3
2024-04-03	4	11	1130 N PORTER AVE	140	Trespassing	10
2024-04-03	4	11	5740 12TH AVE NW	54	Stolen Vehicle	42
2024-04-03	4	11	4343 N FLOOD AVE	54	Follow Up	16
2024-04-03	4	11	4405 E ROCK CREEK RD	140	Fraud	22
